id,word,mean
1,face,(~の方を)向く
2,wear,着用する、着る
3,point,指す、指さす
4,shelf,棚
5,ladder,ハシゴ
6,trim,(芝や髪を)刈りそろえる
7,examine,詳しく調べる、チェックする
8,greet,挨拶する
9,sweep,(ホウキやブラシで)掃く
10,adjust,調節する、調整する
11,head,向かう
12,handle,手で扱う、扱う
13,lean,寄りかかる、もたれる
14,cashier,レジ係
15,polish,磨く
16,lid,フタ
17,stool,スツール(背もたれのない椅子)
18,crosswork,横断歩道
19,brick,レンガ
20,hang,(絵などが)かかる
21,kneel,ひざをつく
22,sew,縫う
23,be propped up against,~に立てかけられる
24,walkway,歩道
25,side by side,並んで
26,applaud,拍手を送る
27,water,水をかける
28,fasten,結ぶ、留める
29,hallway,廊下
30,microscope,顕微鏡
31,mount,(上に)据える、固定する
32,audience,聴衆
33,plaza,広場
34,glove,手袋
35,place,置く
36,protective,防護の
37,scattered,散らばっている
38,artwork,芸術作品
39,cast a shadow,影を落とす
40,page through,ページをめくる
41,row,列、(船を)こぐ
42,reach,手を伸ばす
43,diner,食事客
44,pour,注ぐ
45,load,積み込む
46,board,乗り込む
47,pot,深鍋、植木鉢
48,garbage can,ゴミ箱
49,stack,積み重ねる
50,drawer,引き出し
51,instrument,楽器
52,remove,取り出す、取り外す
53,cargo,貨物、積み荷
54,auditorium,講堂
55,railing,手すり
56,potted plant,鉢植え
57,position,位置に置く、位置を合わせる
58,browse,(特に買う気はないが)見て回る
59,reflect,(像を)映す、反映する
60,lay out,広げる
61,doorway,戸口
62,wheel,(車輪のついたものを)動かす
63,lead to,(道などが)~に通じる、つながる
64,sit opposite,向き合って座る
65,in the distance,遠くに
66,mow,刈る
67,vase,花瓶
68,fountain,噴水、泉
69,intersection,交差点
70,platform,台
71,dock,波止場、埠頭
72,glance,ちらっと見る
73,cupboard,食器棚
74,exit,出る
75,workstation,(PCのある)仕事場、作業場
76,gaze,じっと見る
77,curb,縁石(歩道と車道の間にある石の段差)
78,slanted,傾斜した、斜めの
79,staircase,(室内にある手すりのついた)階段
80,spectator,(スポーツ等の)観客、見物客
81,courtyard,中庭
82,pottery,陶器、瀬戸物
83,cookware,(鍋やフライパンの)調理器具
84,overlook,見下ろす位置にある
85,pier,桟橋
86,lighthouse,灯台
87,portrait,肖像画
88,unattended,(担当の)人がいない
89,awning,日よけ
90,patio,テラス
91,unoccupied,使われていない
92,pedestrian,歩行者
93,crate,(輸送の)木箱、ケース
94,utensil,調理器具
95,station,配置する、ケース
96,window pane,窓ガラス
97,stroll,ぶらぶら歩く
98,lamppost,街灯柱
99,wheelbarrow,(手押しの)一輪車
100,canopy,天蓋(4本の柱の上に布製の屋根がついたテント状のもの)
101,due to owing to,が理由で
102,despite in spite of notwithstanding,にもかかわらず
103,given in light of,考慮に入れると
104,in the event of,の場合
105,in addition to,に加えて
106,except for,を除いて
107,regardless of,無関係に
108,instead of,代わりに
109,whereas,一方で
110,whether,であろうと
111,as soon as,するとすぐに
112,once,いったん~したら
113,unless,しない限り
114,now that,今はもう~なので
115,so that in order that,するように
116,although though even though,にもかわらず
117,even if,たとえ~でも
118,provided that,するという条件でのみ
119,as long as,する限り
120,in case,するといけないので
121,given that,を考慮すると
122,in the event that,した場合
123,insofar as,する限りにおいて
124,inasmach as,する限りにおいて、するので
125,therefore,したがって
126,however,しかしながら
127,nevertheless,それにもかかわらず
128,moreover,その上
129,furthermore,さらに
130,consequently,結果として
131,thereby,そうすることで
132,thus,このようにして
133,meanwhile,その間
